X,Y,fid,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,field_51,field_52,field_53,icon_url
-78.681206,-0.015922,"53","274540808",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS79600908,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Bellavista Cloud Forest Lodge,Pichincha,PRESENT,"3",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.015922,-78.681206,,,,,,,2006/09/03 00:00:00,"3","9","2006","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS79600908,,,,CC_BY_4_0,,obsr159825,,,2023-01-10T19:49:22.810Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-78.70338,-0.037009,"54","2718182987",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS865438375,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Road to Bellavista,Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.037009,-78.70338,,,,,,,2014/09/25 00:00:00,"25","9","2014","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS865438375,,,,CC_BY_4_0,,obsr1398532,,,2023-01-10T20:11:34.453Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-76.45919,-0.471066,"55","2718116875",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS897781362,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,Sacha Lodge,Sucumbíos,PRESENT,,e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.471066,-76.45919,,,,,,,2003/10/30 00:00:00,"30","10","2003","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS897781362,,,,CC_BY_4_0,,obsr197034,,,2023-01-10T20:12:35.378Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.31576,-0.467084,"56","2698498654",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS811786167,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Reserva Antisana, provincia de Pichincha (flujo de lava, mirador del cóndor, etc.)",Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.467084,-78.31576,,,,,,,2019/09/04 00:00:00,"4","9","2019","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS811786167,,,,CC_BY_4_0,,obsr551394,,,2023-01-10T20:34:15.191Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.600134,0.116248,"57","2620026802",50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/45074948,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,,Pichincha,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,0.116248,-78.600134,450,,,,,,2014/10/07 06:30:00,"7","10","2014","2481705","2481705",HUMAN_OBSERVATION,iNaturalist,Observations,"45074948",,Holger Beck,2020/05/06 15:11:35,CC_BY_NC_4_0,Holger Beck,Holger Beck,,,2023-01-15T12:35:47.646Z,StillImage,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
-79.881203,-2.160266,"58","2611116005",50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/44180823,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,,Guayas,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-2.160266,-79.881203,1484,,,,,,2020/04/28 16:06:00,"28","4","2020","2481705","2481705",HUMAN_OBSERVATION,iNaturalist,Observations,"44180823",,Nancy Hilgert,2020/04/28 21:45:30,CC_BY_NC_4_0,Nancy Hilgert,Nancy Hilgert,,,2023-01-15T12:36:51.492Z,StillImage,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.988,-2.910676,"59","2444975681",50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/34587680,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,,Azuay,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,-2.910676,-78.988,263,,,,,,2019/10/14 13:45:14,"14","10","2019","2481705","2481705",HUMAN_OBSERVATION,iNaturalist,Observations,"34587680",,rick-uhlen,2019/10/19 16:41:31,CC_BY_NC_4_0,rick-uhlen,rick-uhlen,,,2023-01-15T12:35:21.592Z,StillImage,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.45883,-0.256512,"60","2214653949",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS667457304,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Armenia-Lumbisi Road, Quito, Pichincha, (-0.257, -78.459)",Pichincha,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.256512,-78.45883,,,,,,,2018/09/30 00:00:00,"30","9","2018","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS667457304,,,,CC_BY_4_0,,obsr774667,,,2023-01-10T20:31:44.527Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-77.60137,-0.674695,"61","2212819372",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS672768720,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,WildSumaco Lodge,Napo,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.674695,-77.60137,,,,,,,2018/09/27 00:00:00,"27","9","2018","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS672768720,,,,CC_BY_4_0,,obsr436882,,,2023-01-10T20:56:24.676Z,,COORDINATE_ROUNDED,CONTINENT_DERIVED_FROM_COORDINATES,,,./0.png
-78.21924,-0.4968,"62","2210204828",4fa7b334-ce0d-4e88-aaae-2e0c138d049e,URN:catalog:CLO:EBIRD:OBS657146847,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Bartramia,Bartramia longicauda,,SPECIES,"Bartramia longicauda (Bechstein, 1812)",Bartramia longicauda,,EC,"Reserva Antisana, provincia de Napo (Pampa de la ovejería, Laguna la Mica, etc.)",Napo,PRESENT,"1",e2e717bf-551a-4917-bdc9-4fa0f342c530,-0.4968,-78.21924,,,,,,,2018/09/14 00:00:00,"14","9","2018","2481705","2481705",HUMAN_OBSERVATION,CLO,EBIRD,OBS657146847,,,,CC_BY_4_0,,obsr162833,,,2023-01-10T20:04:59.197Z,,CONTINENT_DERIVED_FROM_COORDINATES,,,,./0.png
